,Material Description
360,Terminal Lug # 3/0 Crimp Type 2 Hole
361,Terminal Lug # 4/0 Crimp Type 2 Hole
362,Terminal Lug 250Mm
363,Terminal Lug 336-350
364,Terminal Lug # 1/0 Crimp Type 2 Hole
365,Terminal Lug # 2 Crimp Type 2 Hole
366,Terminal Lug 200Mm
367,Thimble Eye Bolt Angle 5/8 X 10
368,Thimble Eye Bolt Angle 5/8 X 8
369,Thimble Eye Bolt Angle  5/8 X 14
370,Thimble Eye Bolt Angle 5/8 X 12
371,Thimble Eye Bolt Straight 5/8 X 10
372,Thimble Eye Bolt Straight 5/8 X 12
373,Thimble Eye Bolt Straight 5/8 X 8
374,Thimble Eye Bolt Straight 5/8 X 9
375,Ti Wire Insulated Soft # 4
376,Tie Wire #4 (Feet)
377,Tie Wire #4 Mtrs
378,Transformer Oil (Pegasus)
379,Truss Guy
380,Tumbler Switch
381,Upper & Lower Fitting Bn
382,Upper Fittings (Old)
383,Vertical Angle Brace 50 Span
384,Vibration Damper Suitable For 336.4 Mcm
385,Wedge Connector # 336. 4
386,Wedge Connector #2/0-4/0
387,Wedge Connector #4/0-4/0
388,Wedge Connector 336-4/0
389,Wood Pole 35 Ft Class 5 Southern Yellow Pine
390,Wood Pole 40 Ft
391,Wood Pole 30 Ft (Usable)
392,Anchor Rod 3/4 X 10 Double Eye
393,"C-Clamp 1"""
394,
